지역,연봉,기업수
kyung-16,2400만 이상,0 
kyung-16,2600만 이상,0 
kyung-16,2800만 이상,0 
kyung-16,3000만 이상,0 
kyung-16,3200만 이상,0 
kyung-16,3400만 이상,0 
kyung-16,3600만 이상,0 
kyung-16,3800만 이상,0 
kyung-16,4000만 이상,0 
kyung-16,5000만 이상,0 
kyung-16,6000만 이상,0 
kyung-16,7000만 이상,0 
kyung-16,8000만 이상,0 
kyung-17,2400만 이상,0 
kyung-17,2600만 이상,0 
kyung-17,2800만 이상,0 
kyung-17,3000만 이상,0 
kyung-17,3200만 이상,0 
kyung-17,3400만 이상,0 
kyung-17,3600만 이상,0 
kyung-17,3800만 이상,0 
kyung-17,4000만 이상,0 
kyung-17,5000만 이상,0 
kyung-17,6000만 이상,0 
kyung-17,7000만 이상,0 
kyung-17,8000만 이상,0 
kyung-18,2400만 이상,25 
kyung-18,2600만 이상,21 
kyung-18,2800만 이상,19 
kyung-18,3000만 이상,17 
kyung-18,3200만 이상,13 
kyung-18,3400만 이상,11 
kyung-18,3600만 이상,10 
kyung-18,3800만 이상,10 
kyung-18,4000만 이상,8 
kyung-18,5000만 이상,7 
kyung-18,6000만 이상,4 
kyung-18,7000만 이상,3 
kyung-18,8000만 이상,3 
kyung-19,2400만 이상,14 
kyung-19,2600만 이상,12 
kyung-19,2800만 이상,11 
kyung-19,3000만 이상,10 
kyung-19,3200만 이상,8 
kyung-19,3400만 이상,6 
kyung-19,3600만 이상,6 
kyung-19,3800만 이상,6 
kyung-19,4000만 이상,6 
kyung-19,5000만 이상,6 
kyung-19,6000만 이상,3 
kyung-19,7000만 이상,3 
kyung-19,8000만 이상,3 
kyung-20,2400만 이상,9 
kyung-20,2600만 이상,5 
kyung-20,2800만 이상,5 
kyung-20,3000만 이상,5 
kyung-20,3200만 이상,3 
kyung-20,3400만 이상,3 
kyung-20,3600만 이상,2 
kyung-20,3800만 이상,2 
kyung-20,4000만 이상,2 
kyung-20,5000만 이상,2 
kyung-20,6000만 이상,1 
kyung-20,7000만 이상,0 
kyung-20,8000만 이상,0 
kyung-21,2400만 이상,5 
kyung-21,2600만 이상,3 
kyung-21,2800만 이상,3 
kyung-21,3000만 이상,3 
kyung-21,3200만 이상,3 
kyung-21,3400만 이상,2 
kyung-21,3600만 이상,2 
kyung-21,3800만 이상,2 
kyung-21,4000만 이상,2 
kyung-21,5000만 이상,1 
kyung-21,6000만 이상,0 
kyung-21,7000만 이상,0 
kyung-21,8000만 이상,0 
kyung-22,2400만 이상,21 
kyung-22,2600만 이상,20 
kyung-22,2800만 이상,18 
kyung-22,3000만 이상,18 
kyung-22,3200만 이상,13 
kyung-22,3400만 이상,10 
kyung-22,3600만 이상,9 
kyung-22,3800만 이상,8 
kyung-22,4000만 이상,6 
kyung-22,5000만 이상,5 
kyung-22,6000만 이상,1 
kyung-22,7000만 이상,1 
kyung-22,8000만 이상,1 
kyung-23,2400만 이상,2 
kyung-23,2600만 이상,2 
kyung-23,2800만 이상,2 
kyung-23,3000만 이상,2 
kyung-23,3200만 이상,2 
kyung-23,3400만 이상,2 
kyung-23,3600만 이상,2 
kyung-23,3800만 이상,1 
kyung-23,4000만 이상,1 
kyung-23,5000만 이상,1 
kyung-23,6000만 이상,0 
kyung-23,7000만 이상,0 
kyung-23,8000만 이상,0 
kyung-24,2400만 이상,8 
kyung-24,2600만 이상,7 
kyung-24,2800만 이상,6 
kyung-24,3000만 이상,6 
kyung-24,3200만 이상,4 
kyung-24,3400만 이상,4 
kyung-24,3600만 이상,4 
kyung-24,3800만 이상,3 
kyung-24,4000만 이상,3 
kyung-24,5000만 이상,2 
kyung-24,6000만 이상,0 
kyung-24,7000만 이상,0 
kyung-24,8000만 이상,0 
kyung-25,2400만 이상,0 
kyung-25,2600만 이상,0 
kyung-25,2800만 이상,0 
kyung-25,3000만 이상,0 
kyung-25,3200만 이상,0 
kyung-25,3400만 이상,0 
kyung-25,3600만 이상,0 
kyung-25,3800만 이상,0 
kyung-25,4000만 이상,0 
kyung-25,5000만 이상,0 
kyung-25,6000만 이상,0 
kyung-25,7000만 이상,0 
kyung-25,8000만 이상,0 
kyung-26,2400만 이상,1 
kyung-26,2600만 이상,1 
kyung-26,2800만 이상,1 
kyung-26,3000만 이상,1 
kyung-26,3200만 이상,1 
kyung-26,3400만 이상,1 
kyung-26,3600만 이상,0 
kyung-26,3800만 이상,0 
kyung-26,4000만 이상,0 
kyung-26,5000만 이상,0 
kyung-26,6000만 이상,0 
kyung-26,7000만 이상,0 
kyung-26,8000만 이상,0 
kyung-27,2400만 이상,2 
kyung-27,2600만 이상,2 
kyung-27,2800만 이상,2 
kyung-27,3000만 이상,2 
kyung-27,3200만 이상,2 
kyung-27,3400만 이상,1 
kyung-27,3600만 이상,1 
kyung-27,3800만 이상,1 
kyung-27,4000만 이상,1 
kyung-27,5000만 이상,1 
kyung-27,6000만 이상,0 
kyung-27,7000만 이상,0 
kyung-27,8000만 이상,0 
kyung-28,2400만 이상,6 
kyung-28,2600만 이상,6 
kyung-28,2800만 이상,3 
kyung-28,3000만 이상,3 
kyung-28,3200만 이상,2 
kyung-28,3400만 이상,1 
kyung-28,3600만 이상,1 
kyung-28,3800만 이상,1 
kyung-28,4000만 이상,1 
kyung-28,5000만 이상,1 
kyung-28,6000만 이상,0 
kyung-28,7000만 이상,0 
kyung-28,8000만 이상,0 
kyung-29,2400만 이상,1 
kyung-29,2600만 이상,1 
kyung-29,2800만 이상,1 
kyung-29,3000만 이상,1 
kyung-29,3200만 이상,1 
kyung-29,3400만 이상,0 
kyung-29,3600만 이상,0 
kyung-29,3800만 이상,0 
kyung-29,4000만 이상,0 
kyung-29,5000만 이상,0 
kyung-29,6000만 이상,0 
kyung-29,7000만 이상,0 
kyung-29,8000만 이상,0 
kyung-30,2400만 이상,0 
kyung-30,2600만 이상,0 
kyung-30,2800만 이상,0 
kyung-30,3000만 이상,0 
kyung-30,3200만 이상,0 
kyung-30,3400만 이상,0 
kyung-30,3600만 이상,0 
kyung-30,3800만 이상,0 
kyung-30,4000만 이상,0 
kyung-30,5000만 이상,0 
kyung-30,6000만 이상,0 
kyung-30,7000만 이상,0 
kyung-30,8000만 이상,0 
kyung-31,2400만 이상,2 
kyung-31,2600만 이상,2 
kyung-31,2800만 이상,2 
kyung-31,3000만 이상,2 
kyung-31,3200만 이상,2 
kyung-31,3400만 이상,2 
kyung-31,3600만 이상,2 
kyung-31,3800만 이상,2 
kyung-31,4000만 이상,2 
kyung-31,5000만 이상,2 
kyung-31,6000만 이상,2 
kyung-31,7000만 이상,0 
